Time,Counter,Text
1,1,два голых школьника
1,1,два голых школьниц
1,2,дед мороз
1,2,делает ногти
1,1,делаешь
1,1,денег
1,3,денег нет
1,1,день
1,2,деньги
1,1,дети добро
1,2,диана дура
1,19,дима
1,9,дима ба
1,2,дима бах
1,5,дима билан
1,1,дима дима
1,1,дима дима дима
1,1,дима дима дима дима
1,1,дима дима дима дима дима
1,1,дима люся
1,6,дима м****
1,1,дима монатик
1,2,дима мудачок
1,1,дичь
1,1,диэтиламид лизергиновой кислоты
1,1,длинную
1,1,длинную фразу
1,4,дмитрий
1,2,дмитрий мудачок
1,1,до свидания
1,1,добро пожаловать в иллюзию
1,1,доброе утро
1,2,добрый
1,3,добрый день
1,2,добрый сок
1,1,долго думаешь
1,1,дом 2
1,1,донецке
1,2,достали
1,1,достаю из
1,1,дочь
1,1,дразнить наташку дергать
1,1,древняя греция
1,1,дружить
1,1,друзья
1,1,дурак
1,1,дьячков
1,3,е мое
1,1,еб твою мать
1,1,ебанько
1,1,ебучие
1,1,егор
1,1,егор егоров с новым годом и днём рождения
1,2,егор егоров я люблю тебя
1,1,ее
1,1,езда
1,3,елизавета
1,1,елочка
1,1,енотов
1,1,ерунда какая-то
1,2,есенин
1,1,если зеленая
1,1,если не останавливаясь что-нибудь о погоде говорить или еще о чем угодно но будет говорить с тобой постоянно может быть и нет а еще он не очень хорошо слышит наверное поэтому надо чуть-чуть погромче добавить громкости нет
1,1,если сказать
1,1,если сказать длинное
1,1,если сказать длинную
1,1,если сказать длинную фразу
1,2,если сказать длинную фразу это будет интересно
1,1,есть
1,1,есть два стула на одном пики точеные
1,1,есть ли жизнь на марсе
1,1,есть на пасху
1,1,ехал
1,1,ехал грека
1,1,ехал грека через
1,1,ехал грека через реку сунул грека руку в реку рак за руку греку цап
1,4,еще
1,1,еще громче
1,1,еще что нибудь скажи
1,3,ж***
1,1,ж*** ж*** ж***
1,3,жалкие людишки
1,1,ждет людей
1,1,же
1,1,женя
1,1,женя мы
1,4,женя мы скучаем
1,1,женя не скучай
1,1,женя ржет надо мной
1,1,жи есть
1,1,животные инстинкты
1,10,жизнь
1,1,жизнь боль
1,1,жизнь боль когда фантазии
1,2,жизнь боль когда фантазии 0
1,2,жизнь жизнь
1,1,жил был у бабушки серенький козлик
1,1,жутко
1,2,за прекрасную
1,1,за прекрасную выставка
1,1,за прекрасную выставку
1,1,за прекрасные выходные
1,1,за прекрасный
1,1,за руку
1,1,за руку греку
1,1,завершена
1,1,закончил
1,2,закончились
1,1,закончить
1,1,замуж замуж хочу
1,2,захожу
1,4,захожу в метро
1,2,захожу в метро а там мужик носки стирает
1,1,зачем ты здесь
1,1,звуки будет удаляться далеко
1,1,здесь не знает слова мало
1,1,здравствуй
1,1,здравствуй google
1,1,здравствуй гугл
1,1,здравствуй пенсия здравствуй
1,1,здравствуй тысяча
1,3,здравствуйте
1,1,здравствуйте академика понтрягина 3 когда есть такая
1,2,здрасте
1,1,здрасьте
1,1,зеленый цвет глаза направления
1,3,земля
1,1,зига зага
1,3,зима
1,1,зима мода
1,1,злобин люблю не могу
1,1,злой
1,1,злой теле
1,4,злой тюлень
1,1,знаешь какие нибудь стихи
1,5,значение
1,10,и
1,1,и club
1,1,и вообще мало по крайней мере
1,1,и желает
1,1,и иже братка
1,1,и крепостные
1,1,и крепостных
1,2,и лапка
1,1,и слово свое не распознаешь
1,2,и чай
1,1,иван gamaz
1,1,иван семенов прыгает нахуй
1,2,ивенты
1,1,игорь егоров с новым годом и днём рождения
1,1,игорь снг
1,2,игорь сновым годом и днём рождения
1,6,игра
1,1,игра кот
1,4,игра окончена
1,1,игры
1,1,идет
1,1,идет целый
1,1,иди до твоего ножом
1,1,иди иди нахер
1,1,иди ты
1,1,из
1,1,из широких
1,3,из-под выподверта
1,1,известный
1,1,издатель
1,3,издательско
1,1,издательство
1,1,икеа
1,1,икринка
1,1,икша
1,1,икша икша
1,1,или записываешь
1,2,или нет
1,1,иллюминаты
1,3,иллюминация
1,1,илья
1,1,имеется возможность
1,1,именно это я и имел ввиду
1,1,имя
1,1,инглиш
1,1,инопланетное
1,2,инопланетный разум
1,1,инопланетный рой
1,1,инсталляции
1,1,инсталляция
1,1,интерактивная выставка
1,1,интерес
1,3,интересно
1,1,интересное
1,1,информацию нужно предоставить
1,2,информация
1,3,ира
1,1,ира не виновата
1,17,исаев
1,2,исаев иса
1,3,исаев исаев
1,3,исаев исаев исаев
1,1,исаев исаев исаев юра исаев известный
1,1,исаев исаев исаев юрий исаев
1,1,исаев исаев юра исаев
1,1,исаев исаев юрий исаев
1,3,исаев юра
1,1,исаев юра юра исаев
1,1,исаев юра юра исаев исаев
1,1,исаев юра юра исаев исаев юра юра юра юра
1,2,исаев юра юра исаев исаев юра юра юра юра юра
1,3,исаев юрий
1,1,йоу
1,1,к cubase
1,1,к нам
1,1,к нам мчится
1,1,кадык
1,1,кажется
1,1,кажется все
1,1,кажется все будет
1,2,как
1,1,как бы так угадать
1,1,как вас зовут
1,1,как вас зовут?
1,18,как дела
1,1,как дела как дела как дела
1,1,как жизнь
1,1,как и ты
1,1,как мне быть
1,1,как настроение
1,1,как они там такой странный
1,1,как пишется
1,1,как создается музыка
1,1,как так
1,3,как твои дела
1,6,как тебя зовут
1,1,как ты поживаешь
1,1,как ты солнышко
1,1,как у басты
1,2,как у тебя дела
1,1,какашки
1,1,какая же ты молодец
1,1,каким будет новый год
1,1,какого человека что ты несешь глупая штука ничего не отвечаешь вообще труба непонятные глаза ангела который туда-сюда моргает закрывается открывается даже невозможно нормально сфотографировать вообще не пойму почему отдали 500 руб. не пойму за что
1,1,какое икша ты что
1,3,какой
1,1,какой курс
1,1,какой следующий
1,2,какой следующий год
1,1,какую-то дичь
1,3,карина
1,1,карина красотка
1,1,карина самая офигенная
1,1,карина я люблю тебя
1,1,кармапа ченно
1,2,катюша
1,3,катя лошара
1,1,кекс кекс кекс кекс кекс
1,1,кентукки фрайд чикен
1,1,кису
1,2,кисуль
1,4,кисуля
1,2,кисуля моя
1,1,китайский боевик
1,1,кичук
1,1,класс
1,1,классно
1,1,классный
1,1,когда будет конец света
1,2,когда выйдет альбом у бибера
1,1,когда меня накроет
1,1,когда наступит конец света
1,1,когда ты появился
1,1,когда я выйду замуж
1,1,колизей
1,1,колледж
1,1,колледжи
1,2,колобок
1,1,колонка
1,5,коля дебил
1,1,комментариев
1,1,компрендо
1,1,конечно что молчим
1,2,коника
1,1,контакт
1,1,контемп
1,3,конус фотку
1,1,конфет
1,1,концентрация глаза по цвету
1,3,космология
1,3,космос
1,1,космос состоит из микроскопических частиц называемыми атомами
1,1,косточка
1,1,кот
1,1,кошечка
1,1,красивая
1,1,красивая и привлекательная
1,1,красное белое
1,1,красотка
1,1,крепостных крестьян
1,1,крепче
1,1,крестьян
1,1,крик человека
1,3,крик человека ангел
1,1,кровосток загнал
1,3,кто здесь
1,1,кто такая лера
1,1,кто такой жирный
1,1,кто тут жирный
1,5,кто ты
1,1,кто ты кто ты кто ты кто ты кто ты кто ты
1,1,кто я что я только лишь мечтатель синь очей утративший во мгле я тебя люблю. кстати заодно с другими на земле
1,1,кто-то трогает
1,1,ку-ку
1,5,ку-ку ёпта
1,1,куда идти дальше
1,1,куда идти дальше оракул
1,1,кусок
1,1,лагранжиан стандартной модели
1,1,лада
1,3,лада седан
1,2,лаки
1,1,лалка
1,3,лебедев
1,3,лебедев алексей
1,1,лебедев олег
1,2,лебеди
1,1,лебеди лебеди
1,1,лебеди лебеди лебеди
1,1,лебедь
1,1,лего
1,1,лего человек
1,1,легче
1,2,лена привет
1,1,ленин
1,1,ленина
1,2,лера
1,1,лера красивая
1,1,лера лера лера
1,3,лето
1,2,леша
1,3,леша люблю
1,1,леша палаткин лижет п***
1,1,лин
1,2,лина
1,1,лина путана
1,1,лиса
1,1,лишь любовь
1,2,лопух
1,1,лосось
1,2,лох
1,1,лукоморья дуб зеленый
1,1,лучше выдумать не мог
1,1,лучший день жизни достоин места в партере
1,1,любви
1,2,любим
1,8,люблю
1,1,люблю болт
1,1,люблю глубину не могу
1,1,люблю енота
1,1,люблю но не могу
1,1,люблю пол
1,4,люблю тебя
1,1,люблю я
1,14,любовь
1,1,любовь бесконечна
1,1,любовь вера надежда
1,1,любовь любовь любовь любовь любовь
1,1,людей
1,1,люси
1,1,люся
1,2,ля ля ля
1,1,ля-ля-ля
1,1,магазин
1,1,магистратура
1,2,мазь
1,3,май тойс
1,1,майдан
1,1,макс и гребень
1,2,максим лох
1,2,маленький
1,1,маленькой елочке холодно зимой
1,3,малыш
1,1,мальчик
1,1,мальчики
1,1,мам я хочу в москву
1,1,мам я хочу в москву хочу в москву
1,2,мама
1,1,мама я тебя люблю
1,1,мамба
1,1,мамку в кино водил ха-ха-ха
1,2,мамочка
1,2,мамочка мамуля
1,1,мамуля
1,1,мандариновый тюлень
1,5,маня
1,4,марина
1,1,мария привет
1,4,марс
1,1,марс в земле
1,1,марс марс
1,1,марте
1,3,мартышка
1,1,марш мамами
1,1,массаж
1,1,массаж асахи
1,6,мася
1,1,матвей ты много куришь
1,3,маша
1,1,маша громко
1,1,маша привет привет маша
1,1,маша ты где
1,2,машина
1,5,машуля
1,1,межгалактический дефибриллятор
1,2,меня
1,1,меня зовут егор
1,1,меня зовут екатерина
1,1,меня из дома конструктор
1,1,меня коля зовут
1,2,мечта
1,1,миасс
1,1,миасс news
1,1,миасс мемы
1,5,микрофон
1,1,микрофон скажи привет привет я глеб пришел на выставку
1,9,мила
1,1,милых
1,1,милых школе
1,3,минус минус
1,3,мир
1,3,мира
1,2,миссия
1,1,митяев
1,1,митяев привет тебе
1,11,миша
1,1,мишуков
1,6,мне
1,1,мне все пофиг пофиг пофиг
1,1,мне кажется
1,2,мне кажется все будет хорошо
1,1,мне кажется что меня нет
1,1,мне кажется что меня нет моя есть
1,1,мне кажется что я
1,1,мне кажется что я есть но меня нет
1,1,мне какую
1,1,мне какую-то
1,1,мне какую-то дичь
1,1,мне нравится
1,1,мне нужны деньги на шанель
1,1,мне очень
1,1,мне очень понравилось
1,1,много-много говори не молчи что хочешь скажи мне поделись своими мыслями
1,1,многоточие
1,1,может быть мы поговорим
1,2,можешь поговорить
1,1,можно даже не догадываемся
1,1,мой дядя самых честных правил когда не в шутку занемог он уважать себя заставил и лучше выдумать не мог
1,1,мой зая
1,1,мой мир
1,1,мой мир меня бережет
1,1,мой мир мир мой
1,1,мой парень голубой
1,1,мой том
1,2,молодец
1,1,мопс
1,2,море внутри меня
1,2,море волнуется раз
1,1,мороз и солнце день чудесный
1,1,мороз и солнце день чудесный еще ты дремлешь друг прелестный пора красавица проснись
1,8,москва
1,1,москва великолепный
1,1,москва столица мира мы вчера до половины шестого стояли ждали когда открывается московское метро
1,1,москвой
1,3,моя
1,1,моя заечка самый лучший
1,1,моя любимая подруга
1,6,мудачок
1,1,мужчин
1,1,мука
1,2,мурманск
1,2,мусин
1,1,мускатный орех
1,1,муха муха цокотуха позолоченное брюхо
1,1,мчится
1,6,мы
1,1,мы валим отсюда
1,1,мы вернулись
1,1,мы вернулись мы ничего не поняли и всегда казалось для чего что это за глаза что это за мост что это за труба что это вообще такое ничего не работает
1,1,мы вошли в контакт
1,1,мы все
1,3,мы все похожи
1,1,мы глупые люди любим то что нас губит хотим то что нельзя
1,1,мы когда-то всегда умираем
1,3,мы ничего не понимаем
1,1,мы почитаем всех нулями а единицами себя
1,1,мы пришли
1,1,мы пришли к вам посмотреть выставку
1,1,мы скучаем
1,1,мы теперь уходим понемногу в ту страну где тишь и благодать может быть и скоро мне в дорогу собираюсь милые березовые чащи
1,1,мы уходим
1,1,мы уходим от тебя
1,1,мысли
1,1,мыться
1,3,мышка
1,1,мышка марте
1,1,мышка мартышка
1,1,мышцы
1,2,мышь
1,7,мяу
1,1,мяу мяу
1,2,мяу мяу мяу
1,1,мяусим
1,1,на
1,1,на английском
1,1,на доске
1,1,на земле
1,2,на месте
1,1,на месте и крепостных крестьян
1,1,на столе
1,1,на твоих поминках будет привет мама и торт
1,1,на улице холодно
1,2,навальный
1,1,навальный президент
1,1,навальный президент навальный
1,1,надеемся на хорошее впечатление
1,2,надо
1,1,надо говорить
1,1,надо говорить надо говорить надо говорить
1,1,надо мною кроме твоего взгляда
1,2,надо сказать
1,1,надя
1,1,название всех истинных элементарное предложение полностью описывает мир
1,1,найти
1,1,найти дима
1,1,найти дима дима и настя
1,1,налейте мне еще бокальчик
1,1,нам все нипочем
1,1,нам открытий
1,2,нам со снегирем все нипочем
1,1,напился
1,1,напиши то что я говорю
1,1,наркоман штоле
1,4,нас
1,1,настоящий
1,1,настюша привет
1,2,настя
1,1,настя беги в туалет
1,1,настя дима
1,1,настя привет
1,1,настя сейчас описается
1,1,натаха димова классная девчонка
1,2,наташа
1,1,нау
1,1,находитесь
1,1,находитесь центр
1,1,нахуй понял
1,1,нахуй ты сюда пришел
1,2,начинай
1,1,наш
1,1,наша
1,1,наша мама
1,1,наша маша
1,2,наша маша громко плачет
1,2,не
1,1,не бойся ножа бойся вилки один удар четыре дырки
1,2,не боюсь
1,1,не вас вас
1,1,не властно лезвие
1,1,не возвращайся
1,1,не возвращайся здесь тебя не ждут здесь навсегда забыли твое имя
1,1,не выходи из комнаты
1,1,не завершено
1,1,не знаю что говорить
1,1,не игнорь
1,2,не очень
1,1,не понимаю
1,1,не понял
1,1,не реагирует на музыку
1,1,не спать
1,1,не так
1,1,не так ли
1,1,не устоять никак
1,5,не хватает
1,1,не хватает мне
1,1,не хватает нежности
1,1,не хватает нежных
1,2,не хватает нежных мужчин
1,1,не хватает счастья
1,2,не хватит
1,1,не хочется
1,1,не хочешь
1,3,небеса
1,1,невыносимая легкость бытия
1,1,недавно
1,1,нежно
1,1,нежности
1,2,нежных
1,1,нежных мужчин
1,1,нежных мышь
1,1,ненадо
1,1,несите деньги в церковь
1,10,нет
1,2,нет же
1,2,нет мира
1,1,нет я рад тебя
1,2,нет я рад тебя видеть
1,1,неформат
1,1,ни хрена
1,3,нива
1,1,ники
1,1,ниндзя
1,2,нихау
1,1,ничего
1,1,ничего не завершено
1,1,ничего нет
1,2,но
1,1,но компрендо
1,2,новый
1,5,новый год
1,2,новый год к нам мчится
1,2,ногти
1,3,нормально
1,1,нормальный
1,2,нормальный движ
1,3,ностальгия
1,1,нота мебель сам все будет кухня мебель для люстры и шторы с двери поменяли
1,2,нохчи
1,1,нохчи что
1,4,нохчийчоь
1,2,ночь
1,1,нравится
1,1,ну давай поговори с нами то ты молчишь и молчишь. повторяй за нами давай расскажи нам что-нибудь
1,1,ну другому
1,1,ну ка песенка
1,1,ну поговори со мной
1,1,ну пожалуйста
1,1,ну расскажи что ты все время повторяешь
1,1,ну тогда я пошел дальше
1,1,ну что
1,1,ну что же лягушки как вы
1,1,ну что поехали дальше
1,1,нужно
1,1,нужно говорить
1,1,нужно говорить микрофон
1,1,о
1,1,о чем с тобой можно разговаривать
1,1,о чем ты сегодня занималась
1,2,о*****
1,1,о***** еще раз
1,1,обильные
1,2,обильные butterfly
1,1,обильные братислава
1,7,облом
1,1,обо
1,1,обо мне
1,1,образные под городскую суету я ухожу душой праздник
1,2,огнев
1,1,огни
1,2,одержимость
1,1,одн
1,1,однажды в студеную зимнюю пору я из лесу вышел был сильный мороз
1,1,однако весело здесь ребята
1,1,ой
1,1,ой мама шика дам шика дам ой мама шика дам шика дам
1,1,ой мороз мороз не морозь меня
1,1,ой ой
1,2,ой-ой-ой
1,2,ока
1,1,окей
1,2,окончена
1,2,оля
1,1,оля ты хочешь на море
1,2,оля я люблю тебя
1,4,омерзительно
1,1,он меня не понимает
1,1,она росла
1,1,она сейчас на работе работает
1,3,онегин
1,1,опистотонус
1,1,опоздаешь
1,1,определение
1,1,оракул
1,1,орешник
1,1,осенние
1,1,осенние за
1,1,осенние за прекрасное выступление
1,1,осенний
1,2,осенний запрет
1,5,осень
1,1,осипов
1,1,осло
1,1,осматривать
1,1,остановись мгновенье
1,1,от музыка
1,1,отбеливатель
1,1,ответы
1,1,ответь что-нибудь
1,1,отдел c 15 15 15 на 15
1,1,отзовись
1,2,открытий
1,1,откуда ты
1,1,отлично
1,1,отлично сегодня позавтракала
1,1,отпусти меня
1,2,отпусти меня спать
1,1,оу оу оу
1,1,офигеть
1,1,охота
1,5,охренеть
1,1,охренительная
1,4,охренительно
1,8,очень
1,1,очень быстро
1,1,очень плохо.
1,2,очко
1,2,п***
1,3,п****
1,3,п*****
1,1,па папапапа
1,5,пам
1,4,пам пам
1,4,пам пам пам
1,1,пам пам пам пам
1,2,пам пам пам пам пам пам
1,3,пантера
1,3,пантера петух
1,1,папа я хочу в дубаи
1,1,папапапа
1,1,пара па па па па
1,1,пара па па папапапа
1,1,пара папа папа папа
1,2,параллелограмм
1,1,параллелограмм и параллелепипед
1,1,парапапапа
1,2,парк
1,1,парк прамук
1,1,парк прамук banchamek
1,1,парк прамук бандитами
1,1,парк прамук бои
1,2,парковка
1,1,парковка завершена
1,1,паркур
1,1,патихард сделать
1,1,пергидроль циклопентан фенантрен
1,2,пердак
1,1,периферия
1,1,пермяки
1,9,песня
1,1,песня как тебя создали
1,1,песня мы здесь впервые скажи что что ты из себя представляешь как с тобой общаться?
1,1,песня почему ты искусство это вообще искусство что такое искусство
1,3,петух
1,4,печаль
1,2,печалька
1,2,пила
1,1,пироги
1,2,пирожок
1,2,питер
1,1,пицца
1,1,пиццерия
1,1,пиши
1,1,плавно жестко
1,3,платье
1,2,платья
1,1,плачет
1,1,плечи губы
1,1,плохой
1,2,повторять неинтересно
1,1,повторяю
1,1,поговори с отцом поговори с ней
1,3,поговори со мной
1,1,подарки под елку
1,1,подвыподвертом
1,1,подумай
1,1,подумай обо
1,2,подумай обо мне
1,1,подушка с памятью слышно звук мыши печально
1,1,подъем
1,4,поезда
1,3,поезда поезда
1,2,поезда поезда поезда поезда
1,3,поезде
1,1,позвони
1,1,позвонить
1,1,поздно
1,2,познай себя
1,1,познакомиться с наташей
1,1,поиск
1,1,пойдем покурим
1,3,пока
1,1,пока красотка
1,1,пока нет
1,2,пока пока
1,1,покажите
1,1,покажите глеб
1,1,покайтесь в содеянном
1,2,полина
1,1,положения квантовой механики
1,1,поля и оля
1,1,помнишь
1,1,помнишь я
1,1,помнишь я говорил
1,1,понедельник
1,2,понимаешь
1,1,понимаешь что ты поехавший
1,1,понимаю
1,1,понравилось
1,2,понятно
1,2,посмотри
