group,name,count
m133,TRACK ANNOUNCER,4
m134,CHRISTOPH,54
m134,DEX,5
m134,DIGITAL GENA,5
m134,EMMA,4
m134,GENA,19
m134,HALDEN,46
m134,KATIE,24
m134,KID,8
m134,LAWYER,9
m134,SYNTHETIC VOICE,12
m134,TANNER,87
m135,ADAM,4
m135,AISHA,22
m135,ALPHA 5,11
m135,BILLY,31
m135,BULK,8
m135,DULCEA,16
m135,GOLDAR,13
m135,IVAN,12
m135,KIMBERLY,6
m135,MORDANT,12
m135,RITA,5
m135,ROCKY,12
m135,SKULL,8
m135,TOMMY,21
m135,ZEDD,5
m135,ZORDON,7
m136,AL CAPONE,13
m136,BOBBY CLOWES,5
m136,BOOBOO HOFF,3
m136,CAPONE,4
m136,CHARLIE,22
m136,DETECTIVE MULLAVEY,4
m136,FRANK,23
m136,GAY ORLOVA,28
m136,JOE PROFACI,5
m136,LANSKY,38
m136,LUCIANO,155
m136,MAD DOG COLL,6
m136,MANAGER,4
m136,MARANZANO,32
m136,MASSERIA,33
m136,REINA,6
m136,ROTHSTEIN,17
m136,SIEGEL,40
m137,ALICE,12
m137,BULL,10
m137,DEATH,10
m137,DR. EDELSTEIN,5
m137,HERB,16
m137,HUTCH,4
m137,HYPNOS,19
m137,JULIE,54
m137,KIMMY,12
m137,KITTY,8
m137,MONKEYBONE,31
m137,STU,99
m137,STUBONE,24
m138,DISCIPLE PROSPECT,9
m138,MARIAN,60
m138,MARIKA,9
m138,MISCHA,13
m138,PAULA,31
m139,BOY,9
m139,CHAIRMAN,8
m139,COOK,4
m139,DIZ,69
m139,EMMA,17
m139,GRIFFITH,4
m139,HUBERT,66
m139,JEFFERSON,243
m139,JIMMIE,4
m139,MA,17
m139,MCGANN,43
m139,NOSEY,11
m139,OTIS,4
m139,PAINE,115
m139,PETER,4
m139,PRESIDENT,19
m139,SAUNDERS,218
m139,SENATOR,8
m139,SPIELER,3
m139,SUSAN,20
m139,TAYLOR,51
m139,VOICES,5
m14,CASSANDRA,14
m14,FEDORCHUK,5
m14,HARCOURT,10
m14,JETSON,93
m14,KIPLING,4
m14,MAFFET,3
m14,O'NEAL,6
m14,OPERATOR,5
m14,PORTER,3
m14,SYKES,151
m14,TUGGLE,8
m14,WARNER,5
m14,WINTER,10
m140,2ND BODYGUARD,5
m140,AGENT,5
m140,AMY,12
m140,APPLICANT,3
m140,BABE,124
m140,BOB,7
m140,BUDINGTON,5
m140,BUTLER,16
m140,BUTLERS,3
m140,CEDAR,91
m140,COBB,53
m140,DOUGLAS,11
m140,DR. FOSDICK,3
m140,FARMER,9
m140,FIRST BROTHER,4
m140,FRANK,7
m140,HALLOR,16
m140,HENABERRY,5
m140,JANE,14
m140,JUDGE,18
m140,LONGFELLOW,258
m140,LONGFELLOW'S VOICE,3
m140,MABEL,23
m140,MAC,28
m140,MORROW,7
m140,MRS. MEREDITH,13
m140,SVENSON,4
m140,VOICE,5
m140,VON HOLLER,4
m140,WAITER,6
m140,WALTER,36
m141,ALTHEA,17
m141,COOK,11
m141,CORRECTIONAL OFFICER,3
m141,DELBANCO,19
m141,FOLLETT,25
m141,GILROY,4
m141,JEREMY,13
m141,JUDGE OTTO,8
m141,LILY,36
m141,LIONEL,8
m141,MARTIN,11
m141,MRS. COOK,18
m141,MUMFORD,330
m141,NESSA,28
m141,SHEELER,13
m141,SKIP,96
m141,SOFIE,94
m142,ARDETH RAY,10
m142,BENI,31
m142,CURATOR,18
m142,DANIELS,6
m142,EVELYN,116
m142,HENDERSON,6
m142,HOOK,4
m142,JONATHAN,55
m142,O'CONNELL,124
m142,WARDEN,13
m143,AMAZING,9
m143,ANABEL,8
m143,BOWLER,36
m143,CASANOVA,46
m143,FURIOUS,99
m143,HELLER,8
m143,INVISIBLE BOY,11
m143,MONICA,51
m143,MOTHER,9
m143,RAJA,85
m143,SHOVELER,53
m143,SPHINX,8
m143,TONY P,6
m144,ALEXANDER,27
m144,BARRAS,20
m144,BELLIARD,10
m144,BERTRAND,7
m144,BOURRIENNE,4
m144,CAULAINCOURT,4
m144,CHARLES,7
m144,CORSICAN,10
m144,DIDIER,3
m144,DUROC,14
m144,EUGENE,8
m144,FRANCIS,10
m144,GENERAL KUTUSOV,18
m144,GIRL,14
m144,JOSEPH,14
m144,JOSEPHINE,41
m144,JUNOT,30
m144,MAJOR FIDON,4
m144,MARIELOUISE,12
m144,MONTESQUIOU,3
m144,NAPOLEON,240
m144,NARRATOR,8
m144,ORDERLY,5
m144,PICART,3
m144,RUSSIAN GENTLEMAN,4
m144,SCHWARZENBURG,6
m144,TALLEYRAND,11
m144,VARLAC,6
m145,BABY'D,4
m145,CRAIG,141
m145,CUSTOMER #1,4
m145,D'WANA,6
m145,DAYDAY,108
m145,DEBO,15
m145,DELIVERY GUY,7
m145,EZAL,15
m145,JOKER,11
m145,KARLA,22
m145,MISS HO KYM,7
m145,MR. JONES,29
m145,PINKY,4
m145,ROACH,44
m145,SUGA,10
m145,UNCLE ELROY,46
m146,BRENDAN GRANT,8
m146,CABBIE,12
m146,ELEANOR GRANT,32
m146,GENE,136
m146,HUEY,43
m146,KRISTA,16
m146,LYNN,25
m146,MR. SMITH,58
m146,MS. JONES,37
m146,MYSTERY MAN,4
m146,OFFICER TRUST,7
m147,BART,4
m147,BEN HARPER,18
m147,BIRDIE STEPTOE,16
m147,CLARY,4
m147,CONGREGATION,5
m147,GROCER,3
m147,GUARD,4
m147,ICEY SPOON,46
m147,JOHN HARPER,74
m147,PEARL HARPER,43
m147,PREACHER,112
m147,RACHEL COOPER,43
m147,RUBY,16
m147,WALT,32
m147,WILLA HARPER,25
m148,DR KING,10
m148,GLEN,39
m148,LT THOMPSON,27
m148,MARGE,44
m148,MR LANTZ,5
m148,NANCY,104
m148,PARKER,6
m148,ROD,16
m148,TINA,12
m149,ALL THREE RUSSIANS,5
m149,ANNA,27
m149,BULJANOFF,67
m149,GASTON,17
m149,GENERAL SAVITZKY,5
m149,HEADWAITER,5
m149,IRANOFF,70
m149,KOPALSKI,60
m149,LAWYER,4
m149,LEON,277
m149,MANAGER,12
m149,NINOTCHKA,301
m149,OFFICIAL,17
m149,PORTER,4
m149,PÈRE MATHIEU,5
m149,RAKONIN,7
m149,RAZININ,15
m149,SWANA,112
m149,TAXI DRIVER,5
m15,APONE,11
m15,BISHOP,15
m15,BURKE,38
m15,GORMAN,33
m15,HICKS,28
m15,HUDSON,50
m15,LYDECKER,3
m15,MEDTECH,4
m15,NEWT,31
m15,RIPLEY,132
m15,SIMPSON,3
m15,VAN LEUWEN,5
m15,VASQUEZ,6
m150,BUZHARDT,5
m150,CUSHMAN,7
m150,DEAN,22
m150,EHRLICHMAN,40
m150,HAIG,32
m150,HALDEMAN,88
m150,HANNAH,13
m150,HAROLD,7
m150,HELMS,28
m150,HOOVER,26
m150,HUNT,17
m150,JONES,16
m150,KISSINGER,29
m150,LIDDY,4
m150,MANOLO,7
m150,MAO,9
m150,MITCH,4
m150,MITCHELL,21
m150,NIXON,434
m150,PAT,62
m150,RICHARD,17
m150,ROCKEFELLER,14
m150,SANDY,7
m150,STUDENT 2,5
m150,STURGIS,7
m150,TOLSON,10
m150,YOUNG WOMAN,5
m150,ZIEGLER,15
m151,BELL,106
m151,CARLA JEAN,62
m151,CHIGURH,84
m151,CLERK,12
m151,DRIVER,4
m151,ELLIS,22
m151,LORETTA,12
m151,MAN,22
m151,MAN AT CHAIR,4
m151,MOLLY,5
m151,MOSS,104
m151,MOTHER,3
m151,OFFICIAL,10
m151,PROPRIETOR,35
m151,ROSCOE,14
m151,WELLS,46
m151,WENDELL,35
m151,WOMAN,20
m152,BALLARD,57
m152,BETTY,209
m152,BLAKE,3
m152,CHARLIE,150
m152,CHIEF NURSE,8
m152,DARLENE,5
m152,DEL,44
m152,DOCTOR,4
m152,DUANE,6
m152,ELIZABETH,4
m152,ELLEN,23
m152,GEORGE,68
m152,GUARD,4
m152,JERROLD,4
m152,JOYCE,16
m152,LONNIE,3
m152,LYLA,24
m152,MERCEDES,7
m152,ROSA,67
m152,ROY,68
m152,SUE ANN,27
m152,WESLEY,105
m153,BIG DAN,5
m153,COOLEY,6
m153,DELMAR,48
m153,ECKARD,24
m153,EVERETT,109
m153,FRENCH,4
m153,JUNIOR,4
m153,MAN,9
m153,MIDDLE,5
m153,PAPPY,12
m153,PENNY,21
m153,PETE,44
m153,PROPRIETOR,3
m153,SPIVEY,17
m153,YOUNGEST,5
m154,BYRON,35
m154,CASEY,6
m154,ESTHER,4
m154,FOLEY,49
m154,GROUP,4
m154,JOE,10
m154,LYNETTE,51
m154,PAULA,88
m154,PERRYMAN,9
m154,SID,72
m154,ZACK,171
m155,BURNHAM,72
m155,COP 1,9
m155,EVAN,15
m155,JUNIOR,48
m155,LYDIA,18
m155,MEG,81
m155,RAOUL,46
m155,SARAH,55
m156,ALMA,8
m156,BEEFY COP,5
m156,BOBBY,6
m156,BOBBY SEALE,4
m156,BRIMMER,25
m156,CY,25
m156,DORSETT,13
m156,ELDRIDGE,3
m156,GARRY,4
m156,GENE,5
m156,HOOVER,5
m156,HUEY,63
m156,JUDGE,87
m156,RITA,6
m156,RODGERS,23
m156,ROSE,16
m156,ROY,4
m156,SABU,4
m156,TYRONE,41
m157,ANNE,11
m157,BILLINGS,15
m157,CHARLOTTE,11
m157,CONTINENTAL SERGEANT,3
m157,CORNWALLIS,29
m157,GABRIEL,67
m157,LEE,39
m157,MAJOR HALBERT,4
m157,MARGARET,3
m157,MARION,159
m157,NATHAN,5
m157,REV. OLIVER,7
m157,ROBINSON,3
m157,SUSAN,3
m157,TARLETON,12
m157,THOMAS,3
m157,WASHINGTON,8
m158,ELLIE,49
m158,JUD,89
m158,LOUIS,126
m158,PASCOW,5
m158,RACHEL,41
m159,ANAMARIA,6
m159,BARBOSSA,56
m159,ELIZABETH,77
m159,GIBBS,20
m159,GILLETTE,7
m159,JACK,142
m159,MULLROY,13
m159,MURTOGG,18
m159,NORRINGTON,38
m159,PINTEL,11
m159,SWANN,16
m159,WILL,68
m16,ALLEGRO,3
m16,ANDANTE,3
m16,ARCO,3
m16,CAVALIERI,28
m16,COLLOREDO,10
m16,COMMENDATORE,4
m16,CONSTANZE,106
m16,FIRST LADY,5
m16,FLUNKY,3
m16,FRAU SCHLUMBERG,12
m16,JOSEPH,64
m16,LEOPOLD,37
m16,LORL,21
m16,MADAME WEBER,4
m16,MOZART,298
m16,OFFICER,5
m16,OLD SALIERI,33
m16,ORSINIROSENBERG,28
m16,PAPAGENO,5
m16,SALIERI,204
m16,SCHIKANEDER,37
m16,SCHLUMBERG,20
m16,SECOND LADY,5
m16,SERVANT,4
m16,UGLY OLD WOMAN,6
m16,VOGLER,30
m16,VON STRACK,20
m16,VON SWIETEN,9
m160,ARGON,79
m160,KID,4
m160,LITTERBUG,6
m160,NEBBLEMAN,42
m160,O'BRIEN,128
m160,POPPY,43
m160,SIM,30
m160,SUSAN,141
m161,ANNE,98
m161,BINGY,34
m161,CONROY,31
m161,DAWSON,16
m161,GALLAGHER,77
m161,GRAYSON,40
m161,HANK,5
m161,MISS WILSON,7
m161,MRS. SCHUYLER,32
m161,SMYTHE,36
m161,STEW,281
m162,BETTY,57
m162,BIFF,28
m162,BIG BOB,3
m162,BOB,34
m162,BOY,6
m162,DAN,3
m162,DAVID,229
m162,DICK VAN DYKE,67
m162,GEORGE,24
m162,HOWARD,4
m162,JENNIFER,120
m162,MARGARET,28
m162,MARK,5
m162,MR. JOHNSON,53
