group,name,Counter,radius
1,добрый,2,4.0
1,добрый день,3,6.0
1,добрый сок,2,4.0
1,достали,2,4.0
1,е мое,3,6.0
1,егор егоров я люблю тебя,2,4.0
1,елизавета,3,6.0
1,есенин,2,4.0
1,если сказать длинную фразу это будет интересно,2,4.0
1,еще,4,7.0
1,ж***,3,6.0
1,жалкие людишки,3,6.0
1,женя мы скучаем,4,7.0
1,жизнь,10,12.0
1,жизнь боль когда фантазии 0,2,4.0
1,жизнь жизнь,2,4.0
1,за прекрасную,2,4.0
1,закончились,2,4.0
1,захожу,2,4.0
1,захожу в метро,4,7.0
1,захожу в метро а там мужик носки стирает,2,4.0
1,здравствуйте,3,6.0
1,здрасте,2,4.0
1,земля,3,6.0
1,зима,3,6.0
1,злой тюлень,4,7.0
1,значение,5,8.0
1,и,10,12.0
1,и лапка,2,4.0
1,и чай,2,4.0
1,ивенты,2,4.0
1,игорь сновым годом и днём рождения,2,4.0
1,игра,6,9.0
1,игра окончена,4,7.0
1,из-под выподверта,3,6.0
1,издательско,3,6.0
1,или нет,2,4.0
1,иллюминация,3,6.0
1,инопланетный разум,2,4.0
1,интересно,3,6.0
1,информация,2,4.0
1,ира,3,6.0
1,исаев,17,14.0
1,исаев иса,2,4.0
1,исаев исаев,3,6.0
1,исаев исаев исаев,3,6.0
1,исаев юра,3,6.0
1,исаев юра юра исаев исаев юра юра юра юра юра,2,4.0
1,исаев юрий,3,6.0
1,как,2,4.0
1,как дела,18,14.0
1,как твои дела,3,6.0
1,как тебя зовут,6,9.0
1,как у тебя дела,2,4.0
1,какой,3,6.0
1,какой следующий год,2,4.0
1,карина,3,6.0
1,катюша,2,4.0
1,катя лошара,3,6.0
1,кисуль,2,4.0
1,кисуля,4,7.0
1,кисуля моя,2,4.0
1,когда выйдет альбом у бибера,2,4.0
1,колобок,2,4.0
1,коля дебил,5,8.0
1,коника,2,4.0
1,конус фотку,3,6.0
1,космология,3,6.0
1,космос,3,6.0
1,крик человека ангел,3,6.0
1,кто здесь,3,6.0
1,кто ты,5,8.0
1,ку-ку ёпта,5,8.0
1,лада седан,3,6.0
1,лаки,2,4.0
1,лебедев,3,6.0
1,лебедев алексей,3,6.0
1,лебеди,2,4.0
1,лена привет,2,4.0
1,лера,2,4.0
1,лето,3,6.0
1,леша,2,4.0
1,леша люблю,3,6.0
1,лина,2,4.0
1,лопух,2,4.0
1,лох,2,4.0
1,любим,2,4.0
1,люблю,8,10.0
1,люблю тебя,4,7.0
1,любовь,14,13.0
1,ля ля ля,2,4.0
1,мазь,2,4.0
1,май тойс,3,6.0
1,максим лох,2,4.0
1,маленький,2,4.0
1,малыш,3,6.0
1,мама,2,4.0
1,мамочка,2,4.0
1,мамочка мамуля,2,4.0
1,маня,5,8.0
1,марина,4,7.0
1,марс,4,7.0
1,мартышка,3,6.0
1,мася,6,9.0
1,маша,3,6.0
1,машина,2,4.0
1,машуля,5,8.0
1,меня,2,4.0
1,мечта,2,4.0
1,микрофон,5,8.0
1,мила,9,11.0
1,минус минус,3,6.0
1,мир,3,6.0
1,мира,3,6.0
1,миссия,2,4.0
1,миша,11,12.0
1,мне,6,9.0
1,мне кажется все будет хорошо,2,4.0
1,можешь поговорить,2,4.0
1,молодец,2,4.0
1,море внутри меня,2,4.0
1,море волнуется раз,2,4.0
1,москва,8,10.0
1,моя,3,6.0
1,мудачок,6,9.0
1,мурманск,2,4.0
1,мусин,2,4.0
1,мы,6,9.0
1,мы все похожи,3,6.0
1,мы ничего не понимаем,3,6.0
1,мышка,3,6.0
1,мышь,2,4.0
1,мяу,7,10.0
1,мяу мяу мяу,2,4.0
1,на месте,2,4.0
1,навальный,2,4.0
1,надо,2,4.0
1,надо сказать,2,4.0
1,нам со снегирем все нипочем,2,4.0
1,нас,4,7.0
1,настя,2,4.0
1,наташа,2,4.0
1,начинай,2,4.0
1,наша маша громко плачет,2,4.0
1,не,2,4.0
1,не боюсь,2,4.0
1,не очень,2,4.0
1,не хватает,5,8.0
1,не хватает нежных мужчин,2,4.0
1,не хватит,2,4.0
1,небеса,3,6.0
1,нежных,2,4.0
1,нет,10,12.0
1,нет же,2,4.0
1,нет мира,2,4.0
1,нет я рад тебя видеть,2,4.0
1,нива,3,6.0
1,нихау,2,4.0
1,но,2,4.0
1,новый,2,4.0
1,новый год,5,8.0
1,новый год к нам мчится,2,4.0
1,ногти,2,4.0
1,нормально,3,6.0
1,нормальный движ,2,4.0
1,ностальгия,3,6.0
1,нохчи,2,4.0
1,нохчийчоь,4,7.0
1,ночь,2,4.0
1,о*****,2,4.0
1,обильные butterfly,2,4.0
1,облом,7,10.0
1,огнев,2,4.0
1,одержимость,2,4.0
1,ой-ой-ой,2,4.0
1,ока,2,4.0
1,окончена,2,4.0
1,оля,2,4.0
1,оля я люблю тебя,2,4.0
1,омерзительно,4,7.0
1,онегин,3,6.0
1,осенний запрет,2,4.0
1,осень,5,8.0
1,открытий,2,4.0
1,отпусти меня спать,2,4.0
1,охренеть,5,8.0
1,охренительно,4,7.0
1,очень,8,10.0
1,очко,2,4.0
1,п***,2,4.0
1,п****,3,6.0
1,п*****,3,6.0
1,пам,5,8.0
1,пам пам,4,7.0
1,пам пам пам,4,7.0
1,пам пам пам пам пам пам,2,4.0
1,пантера,3,6.0
1,пантера петух,3,6.0
1,параллелограмм,2,4.0
1,парк,2,4.0
1,парковка,2,4.0
1,пердак,2,4.0
1,песня,9,11.0
1,петух,3,6.0
1,печаль,4,7.0
1,печалька,2,4.0
1,пила,2,4.0
1,пирожок,2,4.0
1,питер,2,4.0
1,платье,3,6.0
1,платья,2,4.0
1,повторять неинтересно,2,4.0
1,поговори со мной,3,6.0
1,подумай обо мне,2,4.0
1,поезда,4,7.0
1,поезда поезда,3,6.0
1,поезда поезда поезда поезда,2,4.0
1,поезде,3,6.0
1,познай себя,2,4.0
1,пока,3,6.0
1,пока пока,2,4.0
1,полина,2,4.0
1,понимаешь,2,4.0
1,понятно,2,4.0
1,посмотри,2,4.0
1,посмотри вокруг,2,4.0
1,поставить,2,4.0
1,поцелуй,3,6.0
1,почему,3,6.0
1,почему-то,2,4.0
1,превысокомногорассмотрительствующий,2,4.0
1,предложение,3,6.0
1,президент,2,4.0
1,при высоком много,2,4.0
1,при высоком много рассматривающий,3,6.0
1,привет,88,22.0
1,привет андрей,2,4.0
1,приветствую даже деньги на,3,6.0
1,прикол,2,4.0
1,прикольная,4,7.0
1,прикольная штука,3,6.0
1,прикольно,4,7.0
1,принц персии,2,4.0
1,прощай,2,4.0
1,психея,2,4.0
1,пупсик,3,6.0
1,пустота,2,4.0
1,путана,2,4.0
1,путин,7,10.0
1,путин уходи,2,4.0
1,путин уходи уходи путин,2,4.0
1,пушка,3,6.0
1,работа,4,7.0
1,работает,2,4.0
1,работай,3,6.0
1,работать будем,2,4.0
1,радецкая,3,6.0
1,радио,2,4.0
1,радость,5,8.0
1,раз два,2,4.0
1,раз два раз два три,3,6.0
1,раз два три,2,4.0
1,раз раз раз,2,4.0
1,распорядок утра,3,6.0
1,распродажа,2,4.0
1,рассвет,2,4.0
1,рассвет над москвой,3,6.0
1,рафинация,2,4.0
1,ринат,3,6.0
1,роботы,2,4.0
1,розетка,3,6.0
1,ромчик,2,4.0
1,россия,4,7.0
1,россия 2050,2,4.0
1,рота подъем,2,4.0
1,руфина,4,7.0
1,рязань,3,6.0
1,с***,4,7.0
1,с*****,3,6.0
1,салам алейкум,2,4.0
1,сам такой,2,4.0
1,саша,11,12.0
1,саша спасибо,3,6.0
1,светка,2,4.0
1,секс,3,6.0
1,село,3,6.0
1,семена помидор,3,6.0
1,сергей,8,10.0
1,сергей тебе привет,2,4.0
1,сереж а что ты делаешь,2,4.0
1,сережа,3,6.0
1,сережа хороший мальчик,2,4.0
1,сиреневенькая,3,6.0
1,сиреневенькая глаза,4,7.0
1,сиреневенькая глазовыколупывательница,4,7.0
1,сиреневый,2,4.0
1,сирень,3,6.0
1,скажи,4,7.0
1,скажи пожалуйста,2,4.0
1,скажи что,2,4.0
1,скажи что-нибудь,2,4.0
1,сказали,2,4.0
1,сказали наташа,2,4.0
1,сказать,4,7.0
1,скачать,2,4.0
1,скука,4,7.0
1,слушать,2,4.0
1,смехуёчки,3,6.0
1,снегурочка,2,4.0
1,сок,3,6.0
1,соси,2,4.0
1,соус,11,12.0
1,соус болт,6,9.0
1,спасибо,23,16.0
1,спасибо за прекрасную выставку,2,4.0
1,список,3,6.0
1,стикмен,2,4.0
1,стоп,4,7.0
1,страх,4,7.0
1,страшно,3,6.0
1,счастье,2,4.0
1,счастье есть,2,4.0
1,счастья,9,11.0
1,танцует,3,6.0
1,танюша,3,6.0
1,танюшка,2,4.0
1,таня я тебя люблю,3,6.0
1,тварь,2,4.0
1,тебя,4,7.0
1,тест,2,4.0
1,то что я говорю,3,6.0
1,тодес,2,4.0
1,топ,5,8.0
1,тусуемся,6,9.0
1,тут,5,8.0
1,тут тут,2,4.0
1,тут тут тут тут,2,4.0
1,туту,5,8.0
1,тушенный,3,6.0
1,ты,8,10.0
1,ты вчера,2,4.0
1,ты вчера мне какую-то дичь,2,4.0
1,ты классный,2,4.0
1,ты милашка,2,4.0
1,ты настоящий,2,4.0
1,ты тупой,2,4.0
1,ты умеешь танцевать,2,4.0
1,ты умный,2,4.0
1,тыц,3,6.0
1,тыц тыц,3,6.0
1,тыц тыц тыц,3,6.0
1,тыц тыц тыц тыц,2,4.0
1,убить,2,4.0
1,убить человечество,3,6.0
1,удачи,2,4.0
1,улыбка,2,4.0
1,уруру,3,6.0
1,устьянцев,5,8.0
1,уходи,2,4.0
1,уху,2,4.0
1,факин нига бич,2,4.0
1,фарид,2,4.0
1,филипп,3,6.0
1,фото,2,4.0
1,фотопленка,3,6.0
1,фотопленка коника,3,6.0
1,фотопленка коника 2 милых школьника,2,4.0
1,фотопленка коника два голых школьника,2,4.0
1,х**,11,12.0
1,ха ха,3,6.0
1,ха-ха-ха,4,7.0
1,хватит,2,4.0
1,ходили,2,4.0
1,хорошо,3,6.0
1,хочу,3,6.0
1,хрен,2,4.0
1,хрень,4,7.0
1,ху ар ю,2,4.0
1,хули мусора,2,4.0
1,хэллоу,2,4.0
1,человечество,2,4.0
1,чем предназначение,2,4.0
1,что,3,6.0
1,что б****,2,4.0
1,что будет,3,6.0
1,что ждет людей,2,4.0
1,что-нибудь,2,4.0
1,чудных,2,4.0
1,чупа-чупс,2,4.0
1,чупакабра,2,4.0
1,шарики,2,4.0
1,шедевр,2,4.0
1,школьника,2,4.0
1,штука,3,6.0
1,щавель,2,4.0
1,эврибади дэнс нау,3,6.0
1,элвин,2,4.0
1,энциклопедия,3,6.0
1,эссе,3,6.0
1,это,5,8.0
1,это я,2,4.0
1,юля,2,4.0
1,юра,5,8.0
1,юра юра,3,6.0
1,юрец молодец,3,6.0
1,юрий,3,6.0
1,юрий исаев,2,4.0
1,я,10,12.0
1,я боюсь,3,6.0
1,я вас ненавижу,3,6.0
1,я выиграла,3,6.0
1,я достаю из широких штанин,2,4.0
1,я люблю,5,8.0
1,я люблю болтать,2,4.0
1,я люблю петербург,3,6.0
1,я люблю свою семью,3,6.0
1,я люблю свою страну,2,4.0
1,я люблю тебя,10,12.0
1,я люблю яна я тебя люблю,2,4.0
1,я на лосось,2,4.0
1,я не знаю,2,4.0
1,я не знаю что говорить,3,6.0
1,я тебя люблю,3,6.0
1,яна,2,4.0
1,яна я тебя люблю,3,6.0
1,япония,2,4.0
1,ёпсель мопсель,2,4.0
2,1,6,9.0
2,1 1,3,6.0
2,1 2 3 4,2,4.0
2,2,2,4.0
2,2 декабря,3,6.0
2,7,2,4.0
2,7 дней,2,4.0
2,7 дня,2,4.0
2,70,4,7.0
2,8 800 555 35 35,2,4.0
2,9,3,6.0
2,baby baby baby baby baby baby,3,6.0
2,dota 2,2,4.0
2,ebay баба баба,2,4.0
2,escape,2,4.0
2,escape 29,2,4.0
2,good morning,3,6.0
2,google,2,4.0
2,guten tag,2,4.0
2,happiness,2,4.0
2,head head,2,4.0
2,i'm in love,3,6.0
2,i'm in love is,2,4.0
2,i'm in love with back vocal,2,4.0
2,imango владикавказ,2,4.0
2,java,4,7.0
2,mail,3,6.0
2,moscow never slips,2,4.0
2,navi,2,4.0
2,neo,4,7.0
2,ok google,5,8.0
2,people are strange,2,4.0
2,pes,10,12.0
2,radeon,2,4.0
2,steam,2,4.0
2,unix,3,6.0
2,vera,5,8.0
2,vera vera,5,8.0
2,vera vera vera vera vera vera vera vera,2,4.0
2,w36,2,4.0
2,www.drive.ru,2,4.0
2,www.travin.ru,2,4.0
2,а я,6,9.0
2,а я получу диплом,3,6.0
2,абырвалг,2,4.0
2,абырвалг абырвалг,2,4.0
2,абырвалг абырвалг корабль,2,4.0
2,автомат,2,4.0
2,адреса,2,4.0
2,азазазаза,2,4.0
2,азат,4,7.0
2,александр,2,4.0
2,александр македонский,2,4.0
2,алена,10,12.0
2,алена лошара,2,4.0
2,алена херня,2,4.0
2,аленка,3,6.0
2,алло,6,9.0
2,альпака,3,6.0
2,алярма,2,4.0
2,ангел,2,4.0
2,английский не понимает,2,4.0
2,анимации,2,4.0
2,аниме,3,6.0
2,аня,2,4.0
2,ариша,11,12.0
2,артем 11,2,4.0
2,ахуел,2,4.0
2,ахуенно,6,9.0
2,ахуеть,2,4.0
2,ашмарина,3,6.0
2,б*******,2,4.0
2,баня,3,6.0
2,белый цвет,2,4.0
2,белый цвет прекрасен,2,4.0
2,береги,2,4.0
2,бесишь,2,4.0
2,блоха,5,8.0
2,бобров,6,9.0
2,бобров поставь автомат,2,4.0
2,бобровский,13,13.0
2,бобровский поставь,2,4.0
2,бобровский поставь автомат,2,4.0
2,бобровский придурок,2,4.0
2,богова,2,4.0
2,болезнь,2,4.0
2,бу,2,4.0
2,будущее,2,4.0
2,будущее не предопределено,3,6.0
2,в дубае,2,4.0
2,в чем,2,4.0
2,в чем смысл,4,7.0
2,в чем смысл бытия,2,4.0
2,в чем смысл жизни,2,4.0
2,вагина,3,6.0
2,валера,2,4.0
2,ваня,2,4.0
2,вас ис дас,2,4.0
2,ваши,2,4.0
2,ведь,3,6.0
2,ведь недаром,3,6.0
2,великолепно,4,7.0
2,венера,2,4.0
2,вера,2,4.0
2,вера надежда любовь,2,4.0
2,вечеринка,2,4.0
2,виктория,2,4.0
2,владивосток,3,6.0
2,владимирский централ,3,6.0
2,водка,4,7.0
2,военная,2,4.0
2,возвращение силы,2,4.0
2,воздух,2,4.0
2,волосатая,3,6.0
2,волосатая вагина,2,4.0
2,волосатый,2,4.0
2,вот,3,6.0
2,вот зе фак,2,4.0
2,вот из май,2,4.0
2,вот такая вечеринка,5,8.0
2,вот такой,2,4.0
2,время,4,7.0
2,вселенная,3,6.0
2,всё тип,2,4.0
2,выбрать,2,4.0
2,высота,2,4.0
2,г****,3,6.0
2,гарри поттер,3,6.0
2,где,5,8.0
2,где все,3,6.0
2,где мы,2,4.0
2,где я,4,7.0
2,где я нахожусь,2,4.0
2,глупая,2,4.0
2,говняшка,2,4.0
2,говори,2,4.0
2,говорите,2,4.0
2,господь,3,6.0
2,готово,2,4.0
2,грация,2,4.0
2,группа,4,7.0
2,да,6,9.0
2,да ладно,2,4.0
2,да не,2,4.0
2,дабл дабл,3,6.0
2,дабл дабл дабл,2,4.0
2,давай,3,6.0
2,давай давай,3,6.0
2,давай поднимем ручки,2,4.0
2,даша,30,17.0
2,даша даша,6,9.0
2,даша даша даша,8,10.0
2,даша даша даша даша,2,4.0
2,даша скажи что-нибудь,3,6.0
2,два три,3,6.0
2,декабрь,3,6.0
2,день,8,10.0
2,джон,2,4.0
2,джон сноу,2,4.0
2,диссидент,8,10.0
2,диссиденты,2,4.0
2,дней,2,4.0
2,днем,2,4.0
2,добрый день,2,4.0
2,дубае,2,4.0
2,дьявол близко,6,9.0
2,дядя,2,4.0
2,ебашь хуярь,2,4.0
2,еду,2,4.0
2,ему понравиться,2,4.0
2,ерунда это все,2,4.0
2,если,2,4.0
2,если долго мучиться что-нибудь получится,2,4.0
2,есть ли жизнь на марсе,3,6.0
2,еще скажу,3,6.0
2,же ваши,2,4.0
2,же сви,3,6.0
2,женя,9,11.0
2,женя женя,4,7.0
2,женя женя женя женя женя женя женя,2,4.0
2,жизни,4,7.0
2,жируха,2,4.0
2,зад,3,6.0
2,зайка,2,4.0
2,замечательно,3,6.0
2,зачем,5,8.0
2,зачем лекарство,2,4.0
2,звездные войны,2,4.0
2,здорова братан,3,6.0
2,здравствуй,3,6.0
2,здравствуй песня,2,4.0
2,зеленый,2,4.0
2,зеленый златая,2,4.0
2,зелибоба,3,6.0
2,зима,2,4.0
2,златая,2,4.0
2,златая цепь,2,4.0
2,и,10,12.0
2,и я,3,6.0
2,иваненко,3,6.0
2,игил,2,4.0
2,игра,2,4.0
2,идет,2,4.0
2,из,2,4.0
2,иисус,5,8.0
2,иисус господь,5,8.0
2,иисус господь создатель неба и земли,2,4.0
2,иллюзии,2,4.0
2,иллюзия,5,8.0
2,ирина,2,4.0
2,к-т,2,4.0
2,каждый день,2,4.0
2,как будет видео,2,4.0
2,как дела,2,4.0
2,как тебя зовут,3,6.0
2,как у тебя дела,5,8.0
2,какао,4,7.0
2,какашка,8,10.0
2,какашуля,2,4.0
2,какая,2,4.0
2,какое у тебя любимое число,2,4.0
2,какой,3,6.0
2,какой сегодня,2,4.0
2,какой сегодня день,3,6.0
2,камера,2,4.0
2,камиллу,2,4.0
2,капец,3,6.0
2,карбюратор,2,4.0
2,карина,4,7.0
2,карина я тебя люблю,2,4.0
2,кариночка,5,8.0
2,кариночка люблю тебя,2,4.0
2,кариночка я тебя,4,7.0
2,кариночка я тебя люблю,7,10.0
2,карл украл у клары,2,4.0
2,карма,2,4.0
2,катя,8,10.0
2,катя мокрушина,7,10.0
2,кесарево,2,4.0
2,киев,3,6.0
2,кирилл,4,7.0
2,кис,2,4.0
2,кис кис,2,4.0
2,кис кис кис,3,6.0
2,кис-кис-кис-киса,2,4.0
2,кис-кис-кис-киса киса-кисуня,2,4.0
2,кисарова,2,4.0
2,кисарова козлова,3,6.0
2,кисонька,3,6.0
2,кисуня,2,4.0
2,классная,2,4.0
2,клещи,3,6.0
2,кого мне выбрать,3,6.0
2,козел,2,4.0
2,козик,4,7.0
2,кокаин,2,4.0
2,контейнер,2,4.0
2,космос,2,4.0
2,кот,6,9.0
2,котик,7,10.0
2,кофе,2,4.0
2,кошмар,3,6.0
2,краб,2,4.0
2,красавица,3,6.0
2,краснотелка,3,6.0
2,красота,4,7.0
2,красотка,7,10.0
2,кря кря,2,4.0
2,ксюша,3,6.0
2,кто ты,2,4.0
2,кушать,3,6.0
2,ла-ла-ла-ла-ла-ла земля,3,6.0
2,лавировали,2,4.0
2,лалалалалала,2,4.0
2,лекарство,2,4.0
2,лиза,2,4.0
2,лиза класс,2,4.0
2,лиза классная,4,7.0
2,лиза классно,2,4.0
2,лиза супер классная,2,4.0
2,лох,2,4.0
2,лукоморье,2,4.0
2,лукоморья дуб,2,4.0
2,лукоморья дуб зеленый,2,4.0
2,лучшие,2,4.0
2,люблю,13,13.0
2,люблю пиво,2,4.0
2,люблю тебя,6,9.0
2,любовь,27,16.0
2,люк,4,7.0
2,люк я твой отец,4,7.0
2,максима,3,6.0
2,мама,3,6.0
2,мама я,2,4.0
2,мама я в,2,4.0
2,мама я в дубае,4,7.0
2,мама я тебя люблю,2,4.0
2,марк,3,6.0
2,марк шагал,2,4.0
2,марьяна,7,10.0
2,маша,12,12.0
2,маша маша маша,3,6.0
2,мегафон самара,2,4.0
2,медведь,2,4.0
2,менты,2,4.0
2,меня слышно,2,4.0
2,мечтают ли андроиды,2,4.0
2,мечтают ли андроиды об электроовцах,2,4.0
2,микрофон сломался 1 1 1,2,4.0
2,минусовка,2,4.0
2,мир,3,6.0
2,мир чуваки,3,6.0
2,митяев,2,4.0
2,мне,2,4.0
2,молодец,3,6.0
2,москва,2,4.0
2,москва спаленная,2,4.0
2,москва спаленная пожаром,2,4.0
2,моя любовь,3,6.0
2,мур,2,4.0
2,мы,3,6.0
2,мы на пике славы,3,6.0
2,на дубе,2,4.0
2,на дубе том,2,4.0
2,настя,4,7.0
2,наташа,2,4.0
2,наташка с хлебушком,2,4.0
2,не понял,2,4.0
2,неба,2,4.0
2,небо,2,4.0
2,небо и,2,4.0
2,недаром,2,4.0
2,неизбежность,3,6.0
2,ненависть,2,4.0
2,нет,3,6.0
2,нет звука,2,4.0
2,нефть,2,4.0
2,ни в чем,2,4.0
2,нивчем нивчем,3,6.0
2,никогда,3,6.0
2,никого нет,3,6.0
2,ничего,3,6.0
2,ну где,3,6.0
2,ну где же,3,6.0
2,ну где же ваши,2,4.0
2,ну где же ручки ну где же ваши ручки,2,4.0
2,область,2,4.0
2,облачко,2,4.0
2,одно кольцо,2,4.0
2,одноклассники,2,4.0
2,ой все,3,6.0
2,окей,2,4.0
2,ольга,8,10.0
2,оля,2,4.0
2,оля какашка,3,6.0
2,она не знает,2,4.0
2,осмос,2,4.0
2,отдать,2,4.0
2,оциллококцинум,2,4.0
2,очень,2,4.0
2,п,3,6.0
2,п*****,2,4.0
2,папа,3,6.0
2,паровозик,5,8.0
2,паровозик тыр тыр,2,4.0
2,паровозик тыр тыр тыр,3,6.0
2,перестань,2,4.0
2,песке,2,4.0
2,пиво,7,10.0
2,пиво водка колбаса,3,6.0
2,пиджаки,3,6.0
2,пипец,6,9.0
2,пишет что мне делать,2,4.0
2,пиши,3,6.0
2,поговори со мной,3,6.0
2,поезда,12,12.0
2,поезда поезда,4,7.0
2,поздно,2,4.0
2,познает,2,4.0
2,полина,4,7.0
2,полтава,2,4.0
2,пончик,7,10.0
2,послушайте,2,4.0
2,поставить для android,2,4.0
2,поставь,3,6.0
2,почему,8,10.0
2,почему путин,2,4.0
2,почему путин краб,2,4.0
2,почему так страшно,6,9.0
2,почему ты не,2,4.0
2,предскажи мне будущее,3,6.0
2,привет,38,18.0
2,привет ребята добрый день послушайте,2,4.0
2,привет слышишь меня,2,4.0
2,приветик,2,4.0
2,приветики,5,8.0
2,примеры бердске,2,4.0
2,принцесса,8,10.0
2,пришли,2,4.0
2,проверка,5,8.0
2,продам гараж,2,4.0
2,птица говорун,2,4.0
2,пустота,2,4.0
2,пусть идет,2,4.0
2,пусть идет своим чередом,2,4.0
2,пусть это будет сегодня,2,4.0
2,путин,2,4.0
2,путин краб,2,4.0
2,работа,2,4.0
2,радуга,2,4.0
2,раз,4,7.0
2,раз два,4,7.0
2,раз два три,5,8.0
2,раз два три четыре пять,2,4.0
2,раз раз раз,3,6.0
2,ребята,2,4.0
2,ребята добрый,2,4.0
2,ребята добрый день,2,4.0
2,реверберировал,3,6.0
2,реверберировал реверберировал,2,4.0
2,реверберировал реверберировал да не вы реверберировал,2,4.0
2,ритм,2,4.0
2,рождения,5,8.0
2,ручки,2,4.0
2,с,2,4.0
2,с днем,5,8.0
2,с днем рождения,5,8.0
2,с тобой все нормально,3,6.0
2,самара,2,4.0
2,самая,2,4.0
2,самораспаковывающийся,3,6.0
2,саня,2,4.0
2,сатана,3,6.0
2,саша,5,8.0
2,свобода,2,4.0
2,сегодня,3,6.0
2,сегодня день,2,4.0
2,сегодня праздник,3,6.0
2,секс,4,7.0
2,селен,4,7.0
2,семен,2,4.0
2,семь дней,2,4.0
2,семья,2,4.0
2,семён,5,8.0
2,сергей нахуй,2,4.0
2,сила мысли,3,6.0
2,синее море,2,4.0
2,синхрофазотрон,5,8.0
2,скажи,4,7.0
2,скажи ка,2,4.0
2,скажи ка дядя,2,4.0
